"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"2321715","4403ea55676f87348979f15e81c3004cc29e04c1b0293dc7bd4dd4c6fadf5807d46c16aa2fe5374ddbea5bac5549a5a85ef51b9fc03b170b130dbdd436ad4065","2026-06-07T20:54:00.000","2","PARKED",,"2214358",,"HONDA","CIVIC","IL","2017","NONE","PASSENGER","NOT IN USE","S","PARKED",,,"0",,,,,,,,,"Y","Y","Y","Y","Y","Y",,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321716","4403ea55676f87348979f15e81c3004cc29e04c1b0293dc7bd4dd4c6fadf5807d46c16aa2fe5374ddbea5bac5549a5a85ef51b9fc03b170b130dbdd436ad4065","2026-06-07T20:54:00.000","3","PARKED",,"2214360",,"CADILLAC","OTHER (EXPLAIN IN NARRATIVE)","IL","2009","NONE","SPORT UTILITY VEHICLE (SUV)","NOT IN USE","S","PARKED",,,"0",,,,,,,,,,"Y","Y","Y","Y",,,,,"REAR-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321692","e10d50cf53af8aa7efad4ec034d38d03c86313ab0d562b630fcefa4f48a823b111507a091050d96a4c82b3ed0ed3f459db62707c90ef7111d84ca934daf028e6","2026-06-07T20:51:00.000","1","DRIVER",,"2214337",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","PASSENGER","UNKNOWN/NA","E","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321693","e10d50cf53af8aa7efad4ec034d38d03c86313ab0d562b630fcefa4f48a823b111507a091050d96a4c82b3ed0ed3f459db62707c90ef7111d84ca934daf028e6","2026-06-07T20:51:00.000","2","DRIVER",,"2214341","N","NOVA BUS","OTHER (EXPLAIN IN NARRATIVE)","IL","2024","NONE","BUS UP TO 15 PASS.","CTA","E","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,,,,,"Y",,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321728","547f3bd28744f43241cfee02698c1b6b2475a67b958b51df571ed54f72688c848ae213fa0670890bae818ea0abeee61fb497dd0f52a9f52e83905144baee19e3","2026-06-07T20:50:00.000","1","DRIVER","1","2214366",,"MAZDA","CX-5","IL","2026","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD","Y",,"2",,"ER TOWING","10301 S. DOTY AVE",,"Y","Y",,,,,,,,"Y","Y","Y",,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321729","547f3bd28744f43241cfee02698c1b6b2475a67b958b51df571ed54f72688c848ae213fa0670890bae818ea0abeee61fb497dd0f52a9f52e83905144baee19e3","2026-06-07T20:50:00.000","2","DRIVER","1","2214378",,"FORD","EXPLORER","IL","2021","NONE","PASSENGER","POLICE","E","STRAIGHT AHEAD",,,"2",,,,,,,,,,,,,"Y","Y","Y",,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321744","547f3bd28744f43241cfee02698c1b6b2475a67b958b51df571ed54f72688c848ae213fa0670890bae818ea0abeee61fb497dd0f52a9f52e83905144baee19e3","2026-06-07T20:50:00.000","3","DRIVER",,"2214382",,"JEEP","GRAND CHEROKEE",,,"UNKNOWN","PASSENGER","UNKNOWN/NA","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,"Y","Y","Y",,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321704","bcb968563b1b54ca3372600e23f0785dfa6915c804406262c85912e0b680770d092f28ebf485c8c842acb573994ded71d3cf121cfc74ef522c618d3102c7fbbe","2026-06-07T20:46:00.000","1","DRIVER",,"2214350",,"PONTIAC","VIBE","IL","2003","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321705","bcb968563b1b54ca3372600e23f0785dfa6915c804406262c85912e0b680770d092f28ebf485c8c842acb573994ded71d3cf121cfc74ef522c618d3102c7fbbe","2026-06-07T20:46:00.000","2","PARKED",,"2214352",,"CHEVROLET","S10","IL","2000","UNKNOWN","PICKUP","PERSONAL","E","PARKED",,,"0",,,,,"Y",,,,"Y","Y","Y",,,,"Y","Y",,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321706","bcb968563b1b54ca3372600e23f0785dfa6915c804406262c85912e0b680770d092f28ebf485c8c842acb573994ded71d3cf121cfc74ef522c618d3102c7fbbe","2026-06-07T20:46:00.000","3","PARKED",,"2214355",,"SUBARU","IMPREZA","IL","2023","UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","E","PARKED",,,"0",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
