crash_record_id,weather_condition,lighting_condition,roadway_surface_cond,prim_contributory_cause,total_vehicles,avg_driver_age,total_people,total_injured
000736f139efe0ab211f305c2e36a0b648d0447dac7c6c56729a6f78f8832950bfa43f05fa931ac83387f370ee3dfe2e15a67400f1f91bd3be99ef19455f88d7,CLEAR,DUSK,WET,WEATHER,2.0,29.0,2.0,2.0
000738209fd858205a39e1b97b6d7cf79311308e751e3d59592a6e1a5b199f0804a35d79766fbdf88abdc369a1347865712abdabbe9b324243f2412a066fb3cd,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,FOLLOWING TOO CLOSELY,2.0,31.5,2.0,2.0
000779b75793ebf888d82009c849db3621fdf38fdb368d3186774b8daa9f4fb3234da793f084709f302eb2f521badf5dd74852d90191650b7e8753a4ca6153cf,CLEAR,DAYLIGHT,DRY,IMPROPER OVERTAKING/PASSING,2.0,47.0,2.0,2.0
00077d93f6ccf27721f44424874e7099c150ec3b92ac829c9244f441efce896d2f2722d5c8cbdf0823ad5a3fe2393b6d88861f86240a127a2c2ecf0db8de0a98,CLEAR,DAYLIGHT,DRY,IMPROPER TURNING/NO SIGNAL,2.0,47.0,1.0,1.0
00078b64c243e2ca793000e7e056b6d4f7bb69d84bbedf41d1baa5abfeb0520bb8c72dbdd25cef0c894baea0f25fbf044cde7a683eca8a7e37affd913a0acf4d,CLEAR,DAYLIGHT,DRY,IMPROPER TURNING/NO SIGNAL,2.0,58.0,2.0,2.0
00079d2ab63a0e371b18c075cc66607e33f40f3c6e7e25800f317f0982c5f9a0b5d465ec08f9d616b88335103fcadcfa8f31c8baee17626ae4b05ea9799c8a22,UNKNOWN,UNKNOWN,WET,FOLLOWING TOO CLOSELY,4.0,37.5,1.0,1.0
0008041ffe09ddf4fcd6168d7889133f6fb64bb549996e7e65c16676cf78e9d90aa814096a858653811bc58e25eecd18726b1511a74b69883dcbeb2bfd2e84e9,CLEAR,DAYLIGHT,DRY,CELL PHONE USE OTHER THAN TEXTING,2.0,46.0,2.0,2.0
00080f7e984ccb577ef30f9b40f0ba6517108c8765976e78fedcf01538fe40b94f6dd0e276e967f67ac191f0d3669a56eab96b5bfd1527d2f8d84feff5d88b28,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,IMPROPER LANE USAGE,2.0,54.0,2.0,2.0
0008202f0887d3148a98bb2cbcc0edc7d1074cec76bee5cda4486774937dcb67c248b5ebac17859dc0a433cba3bea8d86d0fe245f3b6a3a1422dbfe4f48f6667,RAIN,DUSK,UNKNOWN,FOLLOWING TOO CLOSELY,2.0,17.5,2.0,2.0
00083c176f0699a6ce58e1278e7137ec4f5d9b5412a410e9907875bb252379276d6833dc2c8a34de2d66c12142070d77a57ebfa84741e8950e0325b0e2a12f1c,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,36.0,2.0,2.0
0008419b56c0c97c5d3757d4bb9ac8ebfd67caa19ffe3833344d7a1b4606fd55b79bf1514d4ef60e4632e2e54c86d84460611f96d86ef24972684032376198d6,CLEAR,DAYLIGHT,DRY,FAILING TO REDUCE SPEED TO AVOID CRASH,2.0,38.0,2.0,2.0
00088e142b60ac9c6368ec4bcc0449e28fcda79bb7a566f34b8614ff87faf6175ddeb2d47b3fad3dacb174e16d4bf246daf9d58a2945838fafc13d77befdbc81,CLEAR,DAYLIGHT,DRY,FOLLOWING TOO CLOSELY,2.0,55.0,3.0,3.0
0008c2174aa4839e73708f6727d1f4ee5f932c6c9f3820cb8f91c4928e537d91f8a516c1130b709e573de304371422ff8a62b690b28a78edb6000a32fd9fc555,RAIN,DAYLIGHT,WET,FAILING TO YIELD RIGHT-OF-WAY,1.0,38.0,2.0,2.0
0008f970cc79c9ca782035390e8e4e76359b2e5438f313e6b51b59e911bcc5398d3ea28a45aa1fa00451cc9c30f965c6d6b1b5d59ec3df9f173429726d2b5515,OTHER,DAYLIGHT,WET,FAILING TO REDUCE SPEED TO AVOID CRASH,2.0,27.0,4.0,4.0
0008fc484f4468fd723fbfee6ff979d9368d01bdbf67b20e1da4f21c8ae642ac7e8b628015d2fbf048f5219de665d04318ead36c8aa491459991fed19e3f0082,RAIN,"DARKNESS, LIGHTED ROAD",WET,DISREGARDING STOP SIGN,2.0,56.0,2.0,2.0
000914bd85ef6dce0115e91dc5addfd63f842df5a8d32432d0388ae77ad431799fb678a01c6e79093844452e7c585577ded23ceae9df8878ca6f4cd154857236,CLEAR,DAWN,DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,37.5,2.0,2.0
00094e141d451f57127745e6aef9cc44c4f3d1294a78cc1e8a9e3acc41bc770cd7a5951d0274f2a47940b9ecb322b06a3b8d15e2fcd6861dd6db50a6603495ff,RAIN,DAWN,WET,FOLLOWING TOO CLOSELY,6.0,44.2,8.0,8.0
0009887ad160682705e0ee10af940b0a1e17a3461a57c15667b95faf0aa073630800990895fe8794a10c733da095a1cfa4db5fc792b739f8cf3ccd2bffc2edb5,CLEAR,DARKNESS,UNKNOWN,IMPROPER BACKING,2.0,35.0,2.0,2.0
